Species and subspecies,Wild ancestor,Date,Location of origin,Purpose,Image,Degree and type of domestication,Extent in wild vs captivity,Taxon group,Domestic
"Malayan (Hystrix brachyura), Sunda (H. javanica), Indian crested (H. indica), Crested (H. cristata), Cape (H. africaeaustralis) and Philippine porcupine (H. pumila)","Malayan (Hystrix brachyura)[120], Sunda (H. javanica), Indian crested (H. indica), Crested (H. cristata), Cape (H. africaeaustralis) and Philippine porcupine (H. pumila)",Date uncertain,"Vietnam, China, Philippines, India, Africa","meat, quills, pets",,Held/tame in captivity,,1d Rodentia,Partial
Chinese (Rhizomys sinensis) and Large bamboo rat (R. sumatrensis),Chinese (Rhizomys sinensis) and Large bamboo rat (R. sumatrensis),Date uncertain,China,"meat, pets",,Held/tame in captivity,,1d Rodentia,Partial
Lesser bamboo rat (Cannomys badius),Lesser bamboo rat (Cannomys badius)[121],Date uncertain,"China, Laos","meat, pets",,Held/tame in captivity,,1d Rodentia,Partial
Desmarest's hutia (Capromys pilorides),Desmarest's hutia (Capromys pilorides),Date uncertain,Cuba,"meat, pest control, pets",,Held/tame in captivity,,1d Rodentia,Partial
Steppe lemming (Lagurus lagurus),Steppe lemming (Lagurus lagurus),Date uncertain,Eurasian Steppe,pets,,Held/tame in captivity,,1d Rodentia,Partial
Norway lemming (Lemmus lemmus),Norway lemming (Lemmus lemmus),20th century,Northern Fennoscandia,pets,,Held/tame in captivity,,1d Rodentia,Partial
"Pale (Gerbillus perpallidus), Lesser Egyptian (G. gerbillus), Pleasant (G. amoenus) and Greater Egyptian gerbil (G. pyramidum)","Pale (Gerbillus perpallidus), Lesser Egyptian (G. gerbillus), Pleasant (G. amoenus) and Greater Egyptian gerbil (G. pyramidum)",Date uncertain,"Egypt, Libya",pets,,Held/tame in captivity,,1d Rodentia,Partial
Eurasian harvest mouse (Micromys minutus),Eurasian harvest mouse (Micromys minutus)[122],Date uncertain,Europe,"pest control, pets",,Held/tame in captivity,,1d Rodentia,Partial
"Northeastern (Ctenosaura acanthura), Black (C. similis), and Mexican spiny-tailed iguana (C. pectinata)","Northeastern (Ctenosaura acanthura), Black (C. similis), and Mexican spiny-tailed iguana (C. pectinata)",Date uncertain,"Mexico, Central America","pets, meat",,Captive bred,,3b Lacertilia,Partial
Chinese cobra (Naja atra),Chinese cobra (Naja atra)[123],Date uncertain,China,"venom, skins, pets",,Captive bred,,3a Serpentes,Partial
Crimson rosella (Platycercus elegans) including subspecies Adelaide rosella (P. e. adelaidae) and Yellow rosella (P. e. flaveolus),Crimson rosella (Platycercus elegans) including subspecies Adelaide rosella (P. e. adelaidae) and Yellow rosella (P. e. flaveolus),Date uncertain,Australia,pets,,Held/tame in captivity,,2e Psittaciformes,Partial
"Western (Platycercus icterotis), Green (P. caledonicus), Pale-headed (P. adscitus) and Northern rosella (P. venustus)","Western (Platycercus icterotis), Green (P. caledonicus), Pale-headed (P. adscitus) and Northern rosella (P. venustus)",Date uncertain,Australia,pets,,Held/tame in captivity,,2e Psittaciformes,Partial
Eastern rosella (Platycercus eximius) including subspecies Golden-mantled rosella (P. e. elecica),Eastern rosella (Platycercus eximius) including subspecies Golden-mantled rosella (P. e. elecica),Date uncertain,Australia,pets,,Held/tame in captivity,,2e Psittaciformes,Partial
"Hispaniolan (Trachemys decorata), Colombian (T. callirostris), Cuban (T. decussata), D'Orbigny's (T. dorbigni), Nicaraguan (T. emolli), Ornate (T. ornata), Jamaican (T. terrapen) and Meso-American slider (T. venusta)","Hispaniolan (Trachemys decorata), Colombian (T. callirostris), Cuban (T. decussata), D'Orbigny's (T. dorbigni), Nicaraguan (T. emolli), Ornate (T. ornata), Jamaican (T. terrapen) and Meso-American slider (T. venusta)",Date uncertain,"Haiti, Colombia, Cuba, Brazil, Uruguay, Nicaragua, Costa Rica, Mexico, Jamaica",pets,,Captive bred,,3c Other reptiles,Partial
"Red-eared (Trachemys scripta elegans), Yellow-bellied (T. s. scripta) and Cumberland slider (T. s. troostii)","Red-eared (Trachemys scripta elegans), Yellow-bellied (T. s. scripta) and Cumberland slider (T. s. troostii)",Date uncertain,"United States, especially the southeastern United States","pets, meat",,Easy to domesticate,"Fairly common in captivity, common in the wild",3c Other reptiles,Partial
Chinese softshell turtle (Pelodiscus sinensis),Chinese softshell turtle (Pelodiscus sinensis)[124],Date uncertain,China,"pets, meat",,Captive bred,,3c Other reptiles,Partial
"Chinese pond turtle (Mauremys reevesii), Yellow pond turtle (M. mutica)","Chinese pond turtle (Mauremys reevesii), Yellow pond turtle (M. mutica)[125]",Date uncertain,China,"pets, meat",,Captive bred,,3c Other reptiles,Partial
Common snapping turtle (Chelydra serpentina),Common snapping turtle (Chelydra serpentina)[126],Date uncertain,Florida,"pets, meat",,Captive bred,,3c Other reptiles,Partial
Golden coin turtle (Cuora trifasciata),Golden coin turtle (Cuora trifasciata),Date uncertain,China,"pets, meat",,Captive bred,,3c Other reptiles,Partial
Wattle-necked softshell turtle (Palea steindachneri),Wattle-necked softshell turtle (Palea steindachneri),Date uncertain,China,"pets, meat",,Captive bred,,3c Other reptiles,Partial
Keeled box turtle (Cuora mouhotii),Keeled box turtle (Cuora mouhotii)[127],Date uncertain,China,"meat, medicine, pets",,Captive bred,,3c Other reptiles,Partial
Arrau turtle (Podocnemis expansa),Arrau turtle (Podocnemis expansa)[128],Date uncertain,Brazil,"meat, pets",,Captive bred,,3c Other reptiles,Partial
"Nile (Crocodylus niloticus), West African (C. suchus), Siamese, (C. siamensis), Cuban (C. rhombifer), Morelet's (C. moreletii), Orinoco (C. intermedius), American (C. acutus), Freshwater (C. johnsoni), Philippine (C. mindorensis), Saltwater (C. porosus), New Guinea (C. novaeguineae) and Mugger crocodile (C. palustris)","Nile (Crocodylus niloticus), West African (C. suchus), Siamese, (C. siamensis), Cuban (C. rhombifer), Morelet's (C. moreletii), Orinoco (C. intermedius), American (C. acutus), Freshwater (C. johnsoni), Philippine (C. mindorensis), Saltwater (C. porosus), New Guinea (C. novaeguineae) and Mugger crocodile (C. palustris)[129][130][131][132][133][134][135]",Date uncertain,"Africa, Mexico, Cuba, Colombia, Florida, India, Australia, Philippines, Thailand, Papua New Guinea, Sumatra, Borneo, Myanmar, Peru, Venezuela, Iran","meat, hides, teeth, pets, guarding, tourism, show, blood",,Captive bred,,3c Other reptiles,Partial
"Crimson finch (Neochmia phaeton), Star finch (N. ruficauda), Plum-headed finch (N. modesta) and Red-browed finch (N. temporalis)","Crimson finch (Neochmia phaeton), Star finch (N. ruficauda), Plum-headed finch (N. modesta) and Red-browed finch (N. temporalis)",Date uncertain,New Guinea and Australia,"pets, show",,Held/tame in captivity,,2d Passeriformes,Partial
Grey partridge (Perdix perdix),Grey partridge (Perdix perdix),Date uncertain,"Hungary, United Kingdom","meat, feathers, eggs, pets",,Held/tame in captivity,,2b Galliformes,Partial
"Red-legged (Alectoris rufa), Chukar (A. chukar), Philby's (A. philbyi), Arabian (A. melanocephala) and Barbary partridge (A. barbara)","Red-legged (Alectoris rufa), Chukar (A. chukar), Philby's (A. philbyi), Arabian (A. melanocephala) and Barbary partridge (A. barbara)",Date uncertain,"France, Afghanistan, North Africa, Yemen, Oman","meat, feathers, eggs, pets",,Held/tame in captivity,,2b Galliformes,Partial
Chinese (Bambusicola thoracicus) and Mountain bamboo partridge (B. fytchii),Chinese (Bambusicola thoracicus) and Mountain bamboo partridge (B. fytchii),Date uncertain,"China, India","meat, feathers, eggs, pets",,Held/tame in captivity,,2b Galliformes,Partial
Himalayan monal (Lophophorus impejanus),Himalayan monal (Lophophorus impejanus),Date uncertain,Nepal,"meat, eggs, feathers, ornamental, pets",,Held/tame in captivity,,2b Galliformes,Partial
"Kalij (Lophura leucomelanos), Swinhoe's (L. swinhoii), Salvadori's (L. inornata), Silver (L. nycthemera) and Edwards's pheasant (L. edwardsi); Siamese fireback (L. diardi)","Kalij (Lophura leucomelanos), Swinhoe's (L. swinhoii), Salvadori's (L. inornata), Silver (L. nycthemera) and Edwards's pheasant (L. edwardsi); Siamese fireback (L. diardi)",Date uncertain,"Nepal, Taiwan, Vietnam, Sumatra, China, Thailand","meat, eggs, feathers, ornamental, pets",,Held/tame in captivity,,2b Galliformes,Partial
"Scaled (Callipepla squamata), Elegant (C. douglasii), Gambel's (C. gambelii) and California quail (C. californica)","Scaled (Callipepla squamata), Elegant (C. douglasii), Gambel's (C. gambelii) and California quail (C. californica)",Date uncertain,"Mexico, Utah, California","meat, feathers, eggs, pets",,Held/tame in captivity,,2b Galliformes,Partial
Mountain quail (Oreortyx pictus),Mountain quail (Oreortyx pictus),Date uncertain,California,"meat, feathers, eggs, pets",,Held/tame in captivity,,2b Galliformes,Partial
Montezuma quail (Cyrtonyx montezumae),Montezuma quail (Cyrtonyx montezumae),Date uncertain,Mexico,"meat, feathers, eggs, pets",,Held/tame in captivity,,2b Galliformes,Partial
Vulturine guineafowl (Acryllium vulturinum),Vulturine guineafowl (Acryllium vulturinum),Date uncertain,Ethiopia,"meat, pest control, pets",,Held/tame in captivity,,2b Galliformes,Partial
"Harlequin (Coturnix delegorguei), Rain (C. coromandelica) and Stubble quail (C. pectoralis)","Harlequin (Coturnix delegorguei), Rain (C. coromandelica) and Stubble quail (C. pectoralis)",Date uncertain,"Africa, India, Australia","meat, feathers, eggs, pets",,Held/tame in captivity,,2b Galliformes,Partial
Edible-nest swiftlet (Aerodramus fuciphagus),Edible-nest swiftlet (Aerodramus fuciphagus)[136],Date uncertain,"Indonesia, Malaysia, Thailand, Philippines, Singapore",nests,,Held/tame in captivity,,2f Other birds,Partial
Tarantulas (Theraphosidae),Various tarantula spp. (Theraphosidae spp.)[137],Date uncertain,"North America, Central America, South America, Africa, Asia, Europe, Australia","pets, research, venom",,Captive bred,"Common in captivity, getting rare in the wild.",6c Other arthropods,Partial
Crested gecko (Correlophus ciliatus) and Suras gecko (C. sarasinorum),Crested gecko (Correlophus ciliatus) and Suras gecko (C. sarasinorum),Date uncertain,New Caledonia,pets,,Captive bred,"Somewhat common in captivity, nearly extinct in wild",3b Lacertilia,Partial
Florida manatee (Trichechus manatus latirostris),Florida manatee (Trichechus manatus latirostris)[138],Date uncertain,Florida,meat,,Held/tame in captivity,,1e Other mammals,Partial
Sable (Hippotragus niger) and Roan antelope (H. equinus),Sable (Hippotragus niger)[139] and Roan antelopes (H. equinus)[140],Date uncertain,South Africa,"meat, horns",,Held/tame in captivity,,1b Bovidae,Partial
"Greater kudu (Tragelaphus strepsiceros), Nyala (T. angasii), Cape bushbuck (T. sylvaticus)","Greater kudu (Tragelaphus strepsiceros),[141] Nyala (T. angasii),[142] Cape bushbuck (T. sylvaticus)",Date uncertain,South Africa,"meat, hides, horns, pets",,Held/tame in captivity,,1b Bovidae,Partial
Blue (Connochaetes taurinus) and Black wildebeest (C. gnou),Blue (Connochaetes taurinus)[143] and Black wildebeests (C. gnou)[144],Date uncertain,"South Africa, Kenya","meat, hides, horns, leather, pets",,Held/tame in captivity,,1b Bovidae,Partial
Bontebok (Damaliscus pygargus) including subspecies Blesbok (D. p. phillipsi),Bontebok (Damaliscus pygargus) including subspecies Blesbok (D. p. phillipsi)[145],Date uncertain,South Africa,"meat, hides, horns",,Held/tame in captivity,,1b Bovidae,Partial
Nilgai (Boselaphus tragocamelus),Nilgai (Boselaphus tragocamelus)[146],Date uncertain,"India, Pakistan","meat, hides, horns, pets",,Held/tame in captivity,,1b Bovidae,Partial
Scaly-breasted munia (Lonchura punctulata),Scaly-breasted munia (Lonchura punctulata),Date uncertain,Southeast Asia,"pets, research",,Slight physical changes,Fairly common in captivity and the wild,2d Passeriformes,Partial
Blackbuck (Antilope cervicapra),Blackbuck (Antilope cervicapra),Date uncertain,"India, Pakistan","meat, hides, horns, pets",,Held/tame in captivity,,1b Bovidae,Partial
Chinkara (Gazella bennettii),Chinkara (Gazella bennettii),Date uncertain,"India, Pakistan","meat, horns, pets",,Held/tame in captivity,,1b Bovidae,Partial
Springbok (Antidorcas marsupialis),Springbok (Antidorcas marsupialis)[147],Date uncertain,South Africa,"meat, hides, horns, pets",,Held/tame in captivity,,1b Bovidae,Partial
Barbary sheep (Ammotragus lervia),Barbary sheep (Ammotragus lervia)[148],Date uncertain,North Africa,"meat, horns",,Held/tame in captivity,,1b Bovidae,Partial
European mouflon (Ovis orientalis musimon) and Armenian mouflon (O. o. gmelini),European mouflon (Ovis orientalis musimon)[149] and Armenian mouflon (O. o. gmelini),Date uncertain,"Corsica, Sardinia, Iran, Armenia","meat, wool, hides, horns, pets",,Held/tame in captivity,,1b Bovidae,Partial
African buffalo (Syncerus caffer),African buffalo (Syncerus caffer)[150][151],Date uncertain,South Africa,"meat, leather, horns",,Held/tame in captivity,,1b Bovidae,Partial
Collared peccary (Pecari tajacu),Collared peccary (Pecari tajacu)[152],Date uncertain,Brazil,"meat, pets",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
South African giraffe (Giraffa camelopardalis giraffa),South African giraffe (Giraffa camelopardalis giraffa),Date uncertain,South Africa,"tourism, pets",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
Thorold's deer (Cervus albirostris),Thorold's deer (Cervus albirostris)[153],Date uncertain,China,"meat, antlers",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
White-tailed (Odocoileus virginianus) and Mule deer (O. hemionus),White-tailed (Odocoileus virginianus)[154] and Mule deer (O. hemionus),Date uncertain,"Virginia, West Virginia, Colombia, Florida, Montana, Canada","meat, antlers, hides, pets",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
Chital (Axis axis),Chital (Axis axis),Date uncertain,India,"meat, hides, antlers, pets",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
Water deer (Hydropotes inermis),Water deer (Hydropotes inermis),Date uncertain,China,"meat, tusks, pets",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
"Dwarf (Moschus berezovskii), Alpine (M. chrysogaster), White-bellied (M. leucogaster) and Siberian musk deer (M. moschiferus)","Dwarf (Moschus berezovskii), Alpine (M. chrysogaster), White-bellied (M. leucogaster) and Siberian musk deer (M. moschiferus)[155][156][157]",Date uncertain,"China, India, Russia","meat, tusks, musk, hides",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
Guanaco (Lama guanicoe),Guanaco (Lama guanicoe)[158],Date uncertain,Peru,"fibre, pets, guarding",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
Southern white rhinoceros (Ceratotherium simum simum),Southern white rhinoceros (Ceratotherium simum simum)[159],Date uncertain,South Africa,horns,,Held/tame in captivity,,1e Other mammals,Partial
Black rhinoceros (Diceros bicornis),Black rhinoceros (Diceros bicornis)[160],Date uncertain,South Africa,horns,,Held/tame in captivity,,1e Other mammals,Partial
Fishing (Prionailurus viverrinus) and Rusty-spotted cat (P. rubiginosus),Fishing (Prionailurus viverrinus) and Rusty-spotted cat (P. rubiginosus)[161][162],Date uncertain,India,"pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Spotted hyena (Crocuta crocuta),Spotted hyena (Crocuta crocuta)[163][164][165][166],Date uncertain,"South Africa, Ethiopia, Nigeria","hunting, guarding, waste management, show, tourism, pets",,Held/tame in captivity,,1c Carnivora,Partial
Raccoon dog (Nyctereutes procyonoides) including subspecies Japanese raccoon dog (N. p. viverrinus),Raccoon dog (Nyctereutes procyonoides) including subspecies Japanese raccoon dog (N. p. viverrinus),Date uncertain,"China, Japan","pest control, pets",,Held/tame in captivity,,1c Carnvora,Partial
"Arctic (Vulpes lagopus), Red (V. vulpes) Fennec (V. zerda), Corsac (V. corsac), Pale (V. pallida), Swift (V. velox) and Kit fox (V. macrotis)","Arctic (Vulpes lagopus), Red (V. vulpes) Fennec (V. zerda),[167] Corsac (V. corsac), Pale (V. pallida), Swift (V. velox) and Kit fox (V. macrotis)[citation needed]",Date uncertain,"Europe, North America, North Africa, Central Asia, Sudan","pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Island (Urocyon littoralis) and Gray fox (U. cinereoargenteus),Island (Urocyon littoralis)[168] and Gray foxes (U. cinereoargenteus),Date uncertain,"Channel Islands, Eastern United States","pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Bat-eared fox (Otocyon megalotis),Bat-eared fox (Otocyon megalotis),Date uncertain,Africa,"pest control, show, pets",,Held/tame in captivity,,1c Carnivora,Partial
Crab-eating fox (Cerdocyon thous),Crab-eating fox (Cerdocyon thous)[169],Date uncertain,South America,"pest control, pets",,Easy to domesticate,,1c Carnivora,Partial
"Dingo (Canis lupus dingo), New Guinea singing dog (C. l. hallstromi), Eurasian wolf (C. l. lupus), Iberian wolf (C. l. signatus), Steppe wolf (C. l. campestris), Mongolian wolf (C. l. chanco), Arabian wolf (C. l. arabs), Indian wolf (C. l. pallipes), Arctic wolf (C. l. arctos), Greenland wolf (C. l. orion), Northwestern wolf (C. l. occidentalis)","Dingo (Canis lupus dingo), New Guinea singing dog (C. l. hallstromi), Eurasian wolf (C. l. lupus), Iberian wolf (C. l. signatus), Steppe wolf (C. l. campestris), Mongolian wolf (C. l. chanco), Arabian wolf (C. l. arabs), Indian wolf (C. l. pallipes), Arctic wolf (C. l. arctos), Greenland wolf (C. l. orion) Northwestern wolf (C. l. occidentalis)[170][171][172][173][174][175][176][177][178][179][180][181][182]",Date uncertain,"Australia, Papua New Guinea, Europe, Russia, Kazakhstan, Mongolia, China, Middle East, Canada, Greenland","guarding, pest control, warmth, hunting, tourism, education, research, show, pets, therapy, draft",,Held/tame in captivity,,1c Carnivora,Partial
Coyote (Canis latrans),Coyote (Canis latrans)[183],Date uncertain,North America,"pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Meerkat (Suricata suricatta),Meerkat (Suricata suricatta)[184][185],Date uncertain,South Africa,"pest control, show, pets, research, education, therapy, tourism",,Held/tame in captivity,,1c Carnivora,Partial
Common kusimanse (Crossarchus obscurus),Common kusimanse (Crossarchus obscurus),Date uncertain,West Africa,"pets, pest control",,Captive bred,,1c Carnivora,Partial
"Ruddy mongoose (Herpestes smithii), Javan mongoose (H. javanicus)","Ruddy mongoose (Herpestes smithii),[186] Javan mongoose (H. javanicus)[187]",Date uncertain,"India, Southeast Asia","pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Kissing gourami (Helostoma temminckii),Kissing gourami (Helostoma temminckii),Date uncertain,"Thailand, Indonesia","meat, pets",,Domesticated,,5b Other fish,Partial
"Giant gourami (Osphronemus goramy), Giant red tail gourami (O. laticlavius) and Elephant ear gourami (O. exodon)","Giant gourami (Osphronemus goramy)[188][189], Giant red tail gourami (O. laticlavius) and Elephant ear gourami (O. exodon)",Date uncertain,Southeast Asia,"meat, weed control, pets",,Captive bred,,5b Other fish,Partial
"Red-bellied piranha (Pygocentrus nattereri), San Francisco piranha (P. piraya) and Black spot piranha (P. cariba)","Red-bellied piranha (Pygocentrus nattereri), San Francisco piranha (P. piraya) and Black spot piranha (P. cariba)",Date uncertain,South America,"meat, pets, research, teeth",,Semidomesticated,"Fairly common in captivity, common in the wild",5b Other fish,Partial
"Southern bluefin (Thunnus maccoyii), Pacific bluefin, (T. orientalis), Bigeye (Thunnus obesus), Atlantic bluefin (T. thynnus) and Yellowfin tuna (T. albacares)","Southern bluefin (Thunnus maccoyii), Pacific bluefin (T. orientalis), Bigeye (Thunnus obesus), Atlantic bluefin (T. thynnus) and Yellowfin tuna (T. albacares)[190][191]",Date uncertain,"North America, Europe, East Asia, Australia, Hawaii","meat, eggs",,Captive bred,,5b Other fish,Partial
"White (Acipenser transmontanus), Shortnose (A. brevirostrum), Persian (A. persicus), Siberian (A. baerii), Adriatic (A. naccarii), Starry (A. stellatus) and European sea sturgeon (A. sturio)","White (Acipenser transmontanus), Shortnose (A. brevirostrum), Persian (A. persicus), Siberian (A. baerii), Adriatic (A. naccarii), Starry (A. stellatus) and European sea sturgeon (A. sturio)[192][193][194][195]",Date uncertain,"Alaska, California, Canada, Iran, Russia, Albania, Aegean Sea, Europe","meat, eggs, pets",,Captive bred,,5b Other fish,Partial
"Malabar (Epinephelus malabaricus), Giant (E. lanceolatus), Greasy (E. tauvina), Areolate (E. areolatus), Dusky (E. marginatus), Wavy-lined (E. undulosus), Six-bar (E. sexfasciatus) and Orange-spotted grouper (E. coioides)","Malabar (Epinephelus malabaricus), Giant (E. lanceolatus), Greasy (E. tauvina), Areolate (E. areolatus) Dusky (E. marginatus), Wavy-lined (E. undulosus), Six-bar (E. sexfasciatus) and Orange-spotted grouper (E. coioides)[196][197][198]",Date uncertain,"Asia, Australia, Fiji, South Africa, Italy, Indo-Pacific",meat,,Captive bred,,5b Other fish,Partial
Rainbow trout (Oncorhynchus mykiss) and Chinook salmon (O. tshawytscha),Rainbow trout (Oncorhynchus mykiss) and Chinook salmon (O. tshawytscha),Date uncertain,"Europe, North America, Asia","meat, eggs",,Captive bred,,5b Other fish,Partial
Masu salmon (Oncorhynchus masou) including subspecies Amago (O. m. macrostomus),Masu salmon (Oncorhynchus masou) and appropriate subspecies,Date uncertain,"Russia, Japan, Korea",meat,,Captive bred,,5b Other fish,Partial
Atlantic Salmon (Salmo salar) and Brown trout (S. trutta),Atlantic Salmon (Salmo salar) and Brown trout (S. trutta),Date uncertain,"Europe, United Kingdom, Canada, Chile, Russia, Australia, Tasmania, Alaska","meat, eggs",,Captive bred,,5b Other fish,Partial
"Barramundi (Lates calcarifer), Japanese lates (L. japonicus) and Nile perch (L. niloticus)","Barramundi (Lates calcarifer),[199] Japanese lates (L. japonicus) and Nile perch (L. niloticus)[200]",Date uncertain,"United Kingdom, Poland, United States, India, Southeast Asia, Middle East, Australia, Japan, Africa","meat, pets",,Captive bred,,5b Other fish,Partial
Cobia (Rachycentron canadum),Cobia (Rachycentron canadum),Date uncertain,"United States, Asia, Panama, Mexico",meat,,Captive bred,,5b Other fish,Partial
European bass (Dicentrarchus labrax),European bass (Dicentrarchus labrax),Date uncertain,Europe,meat,,Captive bred,,5b Other fish,Partial
Milkfish (Chanos chanos),Milkfish (Chanos chanos)[201],Date uncertain,"Philippines, Taiwan, Indonesia",meat,,Captive bred,,5b Other fish,Partial
Northern pike (Esox lucius),Northern pike (Esox lucius)[202],Date uncertain,Europe,"meat, pets, research, eggs",,Captive bred,,5b Other fish,Partial
"Alligator gar (Atractosteus spatula), Cuban gar (A. tristoechus) and Tropical gar (A. tropicus)","Alligator gar (Atractosteus spatula), Cuban gar (A. tristoechus) and Tropical gar (A. tropicus)[203][204][205]",Date uncertain,"North America, Cuba, Costa Rica","meat, pets",,Captive bred,,5 Other fish,Partial
Grass carp (Ctenopharyngodon idella),Grass carp (Ctenopharyngodon idella),Date uncertain,China,"meat, weed control",,Held/tame in captivity,,5a Cyprinidae,Partial
Black carp (Mylopharyngodon piceus),Black carp (Mylopharyngodon piceus),Date uncertain,China,"meat, pest control, medicine",,Held/tame in captivity,,5a Cyprinidae,Partial
Bighead carp (Hypophthalmichthys nobilis),Bighead carp (Hypophthalmichthys nobilis),Date uncertain,China,meat,,Held/tame in captivity,,5a Cyprinidae,Partial
Giant barb (Catlocarpio siamensis),Giant barb (Catlocarpio siamensis)[206],Date uncertain,Vietnam,"meat, pets",,Held/tame in captivity,,5a Cyprinidae,Partial
Arapaima (Arapaima gigas),Arapaima (Arapaima gigas)[207][208],Date uncertain,Amazon basin,"meat, pets",,Captive bred,,5b Other fish,Partial
Wels catfish (Silurus glanis),Wels catfish (Silurus glanis)[209],Date uncertain,Europe,meat,,Captive bred,,5b Other fish,Partial
Iridescent shark (Pangasianodon hypophthalmus) and Mekong giant catfish (P. gigas),Iridescent shark (Pangasianodon hypophthalmus) and Mekong giant catfish (P. gigas)[210],Date uncertain,Southeast Asia,"meat, pets",,Captive bred,,5b Other fish,Partial
Flathead grey mullet (Mugil cephalus),Flathead grey mullet (Mugil cephalus)[211],Date uncertain,"California, Colorado",meat,,Captive bred,,5b Other fish,Partial
"Green chromide (Etroplus suratensis), Orange chromide (E. maculatus) and Canara pearlspot (E. canarensis)","Green chromide (Etroplus suratensis),[212] Orange chromide (E. maculatus) and Canara pearlspot (E. canarensis)",Date uncertain,India,"meat, pets",,Captive bred,,5b Other fish,Partial
Yellowtail snapper (Ocyurus chrysurus),Yellowtail snapper (Ocyurus chrysurus),Date uncertain,Caribbean Sea,"meat, tourism",,Captive bred,,5b Other fish,Partial
Northern red snapper (Lutjanus campechanus),Northern red snapper (Lutjanus campechanus)[213],Date uncertain,Gulf of Mexico,"meat, research",,Captive bred,,5b Other fish,Partial
"Japanese (Seriola quinqueradiata), Greater (S. dumerili), Yellowtail amberjack (S. lalandi) and Longfin yellowtail (S. rivoliana)","Japanese (Seriola quinqueradiata), Greater (S. dumerili), Yellowtail amberjack (S. lalandi) and Longfin yellowtail (S. rivoliana)[214][215]",Date uncertain,"Japan, Mediterranean Sea, Chile, Hawaii",meat,,Captive bred,,5b Other fish,Partial
Southern flounder (Paralichthys lethostigma) and Olive flounder (P. olivaceus),Southern flounder (Paralichthys lethostigma) and Olive flounder (P. olivaceus)[216],1980s (uncertain for P. lethostigma),"United States, Japan, China, Korea",meat,,Captive bred,,5b Other fish,Partial
"European (Anguilla anguilla), American (A. rostrata), Short-finned (A. australis), New Zealand longfin (A. dieffenbachii) and Japanese eel (A. japonica)","European (Anguilla anguilla), American (A. rostrata), Short-finned (A. australis), New Zealand longfin (A. dieffenbachii) and Japanese eel (A. japonica)[217][218][219][220]",Date uncertain,"Europe, North America, Asia, New Zealand, Australia","meat, pets, research, medicine",,Captive bred,,5b Other fish,Partial
Sugarbag bee (Tetragonula carbonaria) and Indian stingless bee (T. iridipennis),Sugarbag bee (Tetragonula carbonaria) and Indian stingless bee (T. iridipennis),Date uncertain,"Australia, India","honey, pollination, propolis, wax",,Held/tame in captivity,,6a Hymenoptera,Partial
Dubia roach (Blaptica dubia),Dubia roach (Blaptica dubia),Date uncertain,Central and South America,"animal feed, pets",,Captive bred,,6b Other insects,Partial
Mealworm and Superworm (Tenebrio molitor and Zophobas morio),Larvae of darkling beetles (Tenebrio molitor and Zophobas morio),Date uncertain,Europe,"animal feed, meat, research",,Captive bred,,6b Other insects,Partial
Red flour beetle (Tribolium castaneum),Red flour beetle (Tribolium castaneum),Date uncertain,United States,research,,Captive bred,,6b Other insects,Partial
Black soldier fly (Hermetia illucens),Black soldier fly (Hermetia illucens)[221],Date uncertain,United States,"meat, animal feed, pollination, decomposing",,Captive bred,,6b Other insects,Partial
Waxworms (Achroia grisella and Galleria mellonella),Larvae of lesser and greater wax moths (Achroia grisella and Galleria mellonella),Date uncertain,Europe ?,"animal feed, bait, research, meat",,Captive bred,,6b Other insects,Partial
Mopane moth (Gonimbrasia belina),Mopane moth (Gonimbrasia belina)[222],Date uncertain,Southern Africa,"meat, silk",,Captive bred,,6b Other insects,Partial
American cockroach (Periplaneta americana),American cockroach (Periplaneta americana)[223],Date uncertain,North America,"meat, pets, medicine",,Captive bred,,6b Other insects,Partial
Pacific beetle cockroach (Diploptera punctata),Pacific beetle cockroach (Diploptera punctata)[224][225][226][227],Date uncertain,Hawaii,research,,Captive bred,,6b Other insects,Partial
Flame jellyfish (Rhopilema esculentum),Flame jellyfish (Rhopilema esculentum)[228],Date uncertain,China,"meat, medicine, pets",,Captive bred,,7 Other animals,Partial
Giant Pacific octopus (Enteroctopus dofleini),Giant Pacific octopus (Enteroctopus dofleini)[229],Date uncertain,"Japan, Korea","meat, pets, research",,Captive bred,,7 Other animals,Partial
